"","lfdn","v_14","v_15","v_16","v_23","v_28","v_29","v_30","v_31","v_32","v_33","v_34","v_35","v_36","v_37","v_38","v_39","v_41","v_42","v_43","v_44","v_45","v_46","v_47","v_48","v_49","v_50","v_51","v_52","v_53","v_54","v_57","v_58","v_59","v_60","v_61","v_62","v_63","v_64","v_65","v_66","v_67","v_69","v_71","v_72","v_73","v_161","c_0031","c_0032","v_74","v_77","c_0013","v_173","v_174","v_175","v_176","v_167","v_182","v_183","v_184","v_185","v_186","v_187","v_96","v_99","v_100","v_101","v_102","v_103","v_104","v_105","v_106","v_107","v_108","v_111","v_112","v_113","v_114","v_115","v_116","v_117","v_118","v_119","v_120","v_121","v_124","v_125","v_126","v_127","v_128","v_129","v_130","v_131","v_132","v_133","v_134","v_135","v_140","v_142","v_144","v_145","v_146","v_147","v_148","v_149","v_150","v_151","v_152","v_153","v_154","v_155","v_156","v_157","date","education","casmin","eduyears","einwohner","city","qkm","distance_km","distance_km_raw"
"21",67,1,40,1,"10",1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,4,1,1,3,2,1,2,0,3,6,1,9,5,2,3,1,1,3,2,2,1,7,9,NA,3,5,9,"1","7",10,10,1,10,1,4,0,-5,2,3,3,1,2,4,1,6,1,2,0,2,10,8,0,0,1,2,NA,2,NA,NA,-66,NA,NA,1,1,30,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,4,1,0,2,0,-66,1,1,1,2,0,0,-99,1,4,1,18691,4,6,0.388888888888889,19166,"45657 Recklinghausen",5.467832,0.0206083637525127,1.31788036041157
"22",68,1,66,2,"10",2,NA,1,99,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,3,1,2,2,5,4,1,5,3,4,2,5,3,3,3,3,2,3,4,6,0,NA,9,NA,5,5,5,"7","4",10,10,5,9,0,5,0,0,2,3,3,2,3,3,4,6,2,0,0,0,0,0,0,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,3,NA,NA,2,NA,-66,NA,NA,1,60,3,4,4,2,0,-66,3,NA,2,NA,1,1,2900,0,NA,2,18691,3,NA,NA,38426,"48683 Ahaus",151.521576,0.278093200424468,17.1968235460906
"23",70,1,56,1,"8",2,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,4,2,4,1,9,3,6,1,2,3,1,2,2,2,3,2,4,0,NA,7,3,7,2,2,"7","12",10,9,4,10,1,7,0,-5,1,2,3,2,4,5,2,5,2,8,8,8,9,5,7,3,2,2,NA,2,NA,NA,-66,NA,NA,2,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,3,2,2,2,0,-66,1,1,1,1,0,1,1800,0,NA,3,18691,3,4,0.277777777777778,9551,"18182 Rostock, Gelbensande, Rövershagen u.a.",120.351019,0.227321671243651,14.0657722665958
"24",71,1,38,2,"2",2,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,5,1,1,3,4,5,2,5,2,6,2,7,6,3,3,3,2,4,2,6,1,5,5,2,5,8,7,"2","5",10,10,1,9,0,1,0,-4,1,1,3,1,3,3,2,5,2,7,6,9,3,10,7,0,1,2,NA,3,NA,NA,-66,NA,NA,2,1,10,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,4,4,2,4,2,2,1,1,1,2,0,1,4500,0,NA,2,18691,4,7,0.444444444444444,26776,"48165 Münster",25.192824,0.0881125127975069,5.4808227741767
"25",72,1,47,1,"7",2,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,2,1,1,3,1,1,4,1,1,2,10,1,7,2,8,0,0,2,0,0,0,1,6,1,4,9,NA,10,5,0,"5","12",5,6,6,10,0,10,0,0,1,1,1,4,5,2,3,5,2,0,1,0,2,1,2,8,2,2,NA,2,NA,NA,-66,NA,NA,2,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,4,5,2,3,1,0,1,1,1,2,0,1,2500,0,NA,2,18691,4,7,0.444444444444444,26272,"63322 Rödermark",30.151558,0.163156577907697,10.1087475161112
"26",76,1,60,1,"2",1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,5,1,1,1,2,1,1,10,2,4,1,10,10,2,4,3,2,3,1,6,1,5,3,3,10,5,10,"4","5",10,10,5,10,0,10,0,1,1,1,1,1,1,4,1,6,2,0,0,1,3,10,10,0,2,2,NA,1,NA,NA,-66,NA,NA,1,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,3,1,3,3,0,-66,1,1,1,2,0,1,2500,0,NA,1,18691,3,4,0.277777777777778,6365,"85098 Großmehring",47.469493,0.111133262804098,6.90049931191433
"27",77,1,41,2,"2",2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,3,3,2,1,2,4,4,3,7,2,3,1,3,6,3,3,3,2,3,2,7,1,2,2,2,5,6,2,"2","4",8,8,3,4,2,7,6,2,2,2,2,2,2,2,2,6,1,7,8,5,0,0,4,0,1,2,NA,4,NA,NA,-66,NA,NA,2,1,50,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,5,5,1,1,-66,-66,1,1,1,2,0,0,-99,1,6,1,18691,5,8,0.555555555555556,10250,"90403 Nürnberg",1.048338,0.00937113099194503,0.624886618039715
"28",78,1,36,2,"2",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,4,1,2,4,3,2,1,5,3,6,2,7,5,2,4,3,2,2,1,7,1,2,2,2,4,5,3,"8","5",10,4,2,7,7,8,0,0,2,2,1,1,2,1,2,5,2,5,10,0,0,0,1,0,1,4,NA,NA,NA,1,9,0,NA,2,1,9,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,5,5,0,2,0,-66,1,1,1,2,0,1,5000,0,NA,2,18691,5,8,0.555555555555556,17130,"97074 Würzburg",8.109303,0.0570473272083737,3.56505047706517
"29",80,1,72,2,"9",2,NA,2,1,2,1,NA,NA,NA,NA,NA,NA,2,1,1,4,2,2,1,2,5,1,3,2,4,1,3,2,2,2,2,1,1,2,8,1,1,1,3,7,4,5,"12","2",10,10,7,10,0,10,0,-5,1,1,2,1,2,3,1,5,2,8,0,3,0,5,1,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,4,NA,NA,-66,NA,NA,1,250,4,4,2,2,0,-66,1,1,1,2,0,1,4000,0,NA,1,18691,4,7,0.444444444444444,945,"21274 Undeloh",45.5674,0.228982113658239,14.1681708043315
"30",81,1,66,2,"3",2,NA,1,99,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,3,1,1,1,5,5,1,10,3,3,1,4,8,0,1,2,2,2,1,2,1,7,7,1,9,7,5,"12","2",10,10,8,3,0,10,0,2,2,1,2,2,5,5,2,4,2,0,0,0,10,1,1,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,3,NA,NA,-66,NA,NA,2,-66,5,5,3,2,0,-66,1,1,1,1,0,1,4000,0,NA,2,18691,5,8,0.555555555555556,16074,"12621 Berlin Kaulsdorf",8.182423,0.136677751280413,8.47581336327888
